City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Mangan,IN,85.62,clear sky,27.52,88.53,"Dzongu Lee, Home Stay"
344,San Jose,US,75.99,smoke,37.34,-121.89,The Westin San Jose
348,Trat,TH,86.0,scattered clouds,12.5,102.5,สวนหนิง-อัศ
350,Luganville,VU,82.4,broken clouds,-15.53,167.17,The Espiritu Hotel
352,Meulaboh,ID,83.64,broken clouds,4.14,96.13,Kost Pria
353,Billings,US,81.0,haze,45.78,-108.5,Best Western Plus Clocktower Inn
354,Carnarvon,AU,75.2,overcast clouds,-24.87,113.63,Hospitality Carnarvon
359,Cairns,AU,82.0,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
360,North Myrtle Beach,US,81.0,clear sky,33.82,-78.68,Avista Resort
364,Tautira,PF,80.6,scattered clouds,-17.73,-149.15,Pension Oaoa
366,Ugoofaaru,MV,83.68,broken clouds,5.67,73.0,Ungoofaaru Inn
368,Tabou,CI,75.18,light rain,4.42,-7.35,hotêl doufoulougou
369,Urumqi,CN,82.4,scattered clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
373,Sola,VU,87.8,overcast clouds,-13.88,167.55,Leumerus Bungalows
376,Karratha,AU,88.97,clear sky,-20.74,116.85,ibis Styles Karratha
377,Shimoda,JP,78.8,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
378,Amahai,ID,81.27,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
387,Lazaro Cardenas,MX,79.93,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
389,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
390,Xinyang,CN,85.23,light rain,32.12,114.07,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
397,Namatanai,PG,80.24,moderate rain,-3.67,152.43,Namatanai Hotel
399,Diffa,NE,81.01,light rain,13.32,12.61,ProDAF/Diffa
402,Tevaitoa,PF,76.44,clear sky,-16.78,-151.5,Hôtel Raiatea Lodge
408,Naze,JP,87.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
409,Dumai,ID,85.28,moderate rain,1.68,101.45,Grand Zuri Dumai
412,Zhangye,CN,75.45,broken clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
413,Salinopolis,BR,78.12,clear sky,-0.61,-47.36,Hotel Salinópolis
416,Puerto Cabezas,NI,79.27,scattered clouds,14.04,-83.39,Hotel Caribe
419,Banes,CU,78.8,few clouds,20.96,-75.72,Hostal Iván y yailet
422,Vieux-Habitants,GP,80.6,few clouds,16.06,-61.77,Gîtes Dardanelle
425,Bacolod,PH,86.63,light rain,10.67,122.95,Planta Hotel & Residences
432,Lhokseumawe,ID,86.27,scattered clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
433,Tateyama,JP,80.6,broken clouds,34.98,139.87,Tateyama Seaside Hotel
436,Moindou,NC,75.2,overcast clouds,-21.69,165.68,Gite de la RYAWA
437,Komsomolskiy,UZ,82.4,clear sky,40.43,71.72,Ikathouse
439,Makakilo City,US,87.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
443,Soma,TR,77.0,clear sky,39.19,27.61,Hotel Labella
445,Paracuru,BR,79.0,scattered clouds,-3.41,-39.03,Hotel Vento Brasil
448,Nieuw Amsterdam,SR,77.0,few clouds,5.88,-55.08,Hotel Stardust
449,Champerico,GT,76.59,light rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
451,Tura,IN,81.75,light rain,25.52,90.22,Hotel RIKMAN Continental
453,Bom Jesus,BR,78.67,broken clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
456,Yamada,JP,81.03,overcast clouds,39.47,141.95,Iroha-ya Inn
463,Mao,ES,77.0,clear sky,39.89,4.27,ARTIEM Capri
464,Dovers,VC,83.12,overcast clouds,12.88,-61.18,Ocean Breeze
468,Arona,ES,81.0,clear sky,28.1,-16.68,Paradise Court
470,Mogadishu,SO,76.46,light rain,2.04,45.34,Hotel Juba
471,Robertsport,LR,76.33,moderate rain,6.75,-11.37,Kwepunha Retreat
475,Port Maria,JM,78.01,clear sky,18.37,-76.89,Galina Breeze Hotel
477,Hobyo,SO,76.84,broken clouds,5.35,48.53,Osmani Hotel
480,Samarai,PG,77.31,scattered clouds,-10.62,150.67,Nuli Sapi
483,Acapulco,MX,79.57,moderate rain,16.86,-99.89,HS Hotsson Smart Acapulco
485,Portales,US,80.01,clear sky,34.19,-103.33,Holiday Inn Express & Suites Portales
488,Westport,US,77.0,clear sky,41.14,-73.36,The Westport Inn
494,Panzhihua,CN,75.99,light rain,26.59,101.71,Electric Power Hotel
496,Eyl,SO,78.62,broken clouds,7.98,49.82,Amiin Hotel
